CAD_U|CABEU|E4685|AIQ|20140217190543|BEU-30|||//2/25/2014 1:08:21 AM
CAD_U|CABEU|E4686|AIQ|20140116093945|BEU-30|||//2/25/2014 1:08:23 AM
CAD_U|CABEU|E4686|AIQ|20140116093945|BEU-30|||//2/25/2014 1:08:23 AM
CAD_U|CABEU|E4686|AIQ|20140116093945|BEU-30|||//2/25/2014 1:08:23 AM
CAD_U|CABEU|E4693|AIQ|20140214141303|BEU-30|||//2/25/2014 1:08:24 AM
CAD_U|CABEU|E4693|AIQ|20140214141303|BEU-30|||//2/25/2014 1:08:24 AM
CAD_U|CABEU|E4693|AIQ|20140214141303|BEU-30|||//2/25/2014 1:08:24 AM
CAD_U|CABEU|E4694|AIQ|20140223113213|BEU-30|||//2/25/2014 1:08:25 AM
CAD_U|CABEU|E4694|AIQ|20140223113213|BEU-30|||//2/25/2014 1:08:25 AM
CAD_U|CABEU|GAB3|AIQ|20140224074744|BEU-30|||//2/25/2014 1:08:26 AM
CAD_U|CABEU|GAB3|AIQ|20140224074744|BEU-30|||//2/25/2014 1:08:26 AM
CAD_U|CABEU|GAB3|AIQ|20140224074744|BEU-30|||//2/25/2014 1:08:26 AM
CAD_U|CABEU|GAB4|AIQ|20140221071749|BEU-30|||//2/25/2014 1:08:27 AM
CAD_U|CABEU|GAB4|AIQ|20140221071749|BEU-30|||//2/25/2014 1:08:27 AM
CAD_U|CABEU|GAB4|AIQ|20140221071749|BEU-30|||//2/25/2014 1:08:27 AM
CAD_U|CACDF|T80|AIQ|20140117132848|HAAB|||//2/25/2014 1:08:27 AM
CAD_U|CACDF|T80|AIQ|20140117132848|HAAB|||//2/25/2014 1:08:27 AM
CAD_U|CACDF|T80|AIQ|20140117132848|HAAB|||//2/25/2014 1:08:27 AM
CAD_U|CACDF|T81|AIQ|20140202095041|HAAB|||//2/25/2014 1:08:27 AM
CAD_U|CACDF|T81|AIQ|20140202095041|HAAB|||//2/25/2014 1:08:27 AM
CAD_U|CACDF|T81|AIQ|20140202095041|HAAB|||//2/25/2014 1:08:27 AM
CAD_U|CACDF|T86|AIQ|20140211171459|R-8A|||//2/25/2014 1:08:28 AM
CAD_U|CACDF|T86|AIQ|20140211171459|R-8A|||//2/25/2014 1:08:28 AM
CAD_U|CACDF|T86|AIQ|20140211171459|R-8A|||//2/25/2014 1:08:28 AM
CAD_U|CAFKU|E4352|AIQ|20131108180918|FKU-2|||//2/25/2014 1:08:29 AM
CAD_U|CAFKU|E4352|AIQ|20131108180918|FKU-2|||//2/25/2014 1:08:29 AM
CAD_U|CAFKU|E4352|AIQ|20131108180918|FKU-2|||//2/25/2014 1:08:29 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//2/25/2014 1:08:31 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//2/25/2014 1:08:31 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//2/25/2014 1:08:31 AM
CAD_U|CAFKU|E4354|AIQ|20140214091555|FKU-1A|||//2/25/2014 1:08:32 AM
CAD_U|CAFKU|E4354|AIQ|20140214091555|FKU-1A|||//2/25/2014 1:08:32 AM
CAD_U|CAFKU|E4361|AIQ|20140214112102|FKU-1A|||//2/25/2014 1:08:33 AM
CAD_U|CAFKU|E4361|AIQ|20140214112102|FKU-1A|||//2/25/2014 1:08:33 AM
CAD_U|CAFKU|E4361|AIQ|20140214112102|FKU-1A|||//2/25/2014 1:08:33 AM
CAD_U|CAFKU|E4363|AIQ|20131222111920|FKU-2|||//2/25/2014 1:08:34 AM
CAD_U|CAFKU|E4363|AIQ|20131222111920|FKU-2|||//2/25/2014 1:08:34 AM
CAD_U|CAFKU|E4363|AIQ|20131222111920|FKU-2|||//2/25/2014 1:08:34 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:08:35 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:08:35 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:08:35 AM
CAD_U|CAFKU|MIR1|AIQ|20140224063828|FKU-2|||//2/25/2014 1:08:36 AM
CAD_U|CAFKU|MIR1|AIQ|20140224063828|FKU-2|||//2/25/2014 1:08:36 AM
CAD_U|CAFKU|MIR1|AIQ|20140224063828|FKU-2|||//2/25/2014 1:08:36 AM
CAD_U|CAFKU|MIR2|AIQ|20140224063830|FKU-2|||//2/25/2014 1:08:37 AM
CAD_U|CAFKU|MIR2|AIQ|20140224063830|FKU-2|||//2/25/2014 1:08:37 AM
CAD_U|CAFKU|MIR2|AIQ|20140224063830|FKU-2|||//2/25/2014 1:08:37 AM
CAD_U|CAFKU|MIR3|AIQ|20140217075558|FKU-1A|||//2/25/2014 1:08:39 AM
CAD_U|CAFKU|MIR3|AIQ|20140217075558|FKU-1A|||//2/25/2014 1:08:39 AM
CAD_U|CAFKU|MIR3|AIQ|20140217075558|FKU-1A|||//2/25/2014 1:08:39 AM
CAD_U|CAFKU|MIR4|AIQ|20140224063831|FKU-2|||//2/25/2014 1:08:40 AM
CAD_U|CAFKU|MIR4|AIQ|20140224063831|FKU-2|||//2/25/2014 1:08:40 AM
CAD_U|CAFKU|MIR4|AIQ|20140224063831|FKU-2|||//2/25/2014 1:08:40 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:20:16 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:20:16 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:20:16 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:20:19 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:20:19 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:20:19 AM
CAD_E|CASLC14002303//2/25/2014 1:25:36 AM
CAD_E|CASLC14002303//2/25/2014 1:25:51 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:30:03 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:30:03 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:30:03 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 1:33:31 AM
CAD_E|CAPRF14002308|CASLU2014001733|CSF|20140224204525|FSC|FIRE, COMMERCIAL|-120.687763|35.637378|2198 RIVERSIDE AVE |PR|1100 BLK 21ST ST|1100 BLK 24TH ST|513_G_4||||B3413,E30,B3409,P3421,P3428|Command:PRF CMD;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground: ;//2/25/2014 1:33:31 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:50:16 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:50:16 AM
CAD_U|CAFKU|E4382|AIQ|20140128084828|FKU-2|||//2/25/2014 1:50:16 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 1:58:03 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 1:58:03 AM
CAD_U|CACDF|C406|AIQ|20140215065153|BVHB|||//2/25/2014 1:58:03 AM
CAD_U|CABEU|D4641|AIQ|20140208062451|BEU-30|||//2/25/2014 1:58:04 AM
CAD_U|CABEU|D4641|AIQ|20140208062451|BEU-30|||//2/25/2014 1:58:04 AM
